Station,Train No,Time
Naigaon,93009,
Naigaon,93011,
Naigaon,93013,
Naigaon,93015,
Naigaon,93017,
Naigaon,93019,
Naigaon,93021,
Naigaon,93023,
Naigaon,93025,
Naigaon,93027,
Naigaon,93029,
Naigaon,93031,
Naigaon,93033,
Naigaon,93035,18:49
Naigaon,93037,
Naigaon,93039,
Naigaon,93041,
VASAI ROAD,93001,
VASAI ROAD,93003,
VASAI ROAD,93005,06:05
VASAI ROAD,93007,06:54
VASAI ROAD,93009,08:18
VASAI ROAD,93011,08:49
VASAI ROAD,93013,
VASAI ROAD,93015,09:57
VASAI ROAD,93017,10:53
VASAI ROAD,93019,11:13
VASAI ROAD,93021,
VASAI ROAD,93023,
VASAI ROAD,93025,
VASAI ROAD,93027,
VASAI ROAD,93029,
VASAI ROAD,93031,16:21
VASAI ROAD,93033,
VASAI ROAD,93035,18:55
VASAI ROAD,93037,
VASAI ROAD,93039,
VASAI ROAD,93041,21:29
Nallasopara,93001,
Nallasopara,93003,
Nallasopara,93005,
Nallasopara,93007,
Nallasopara,93009,
Nallasopara,93011,
Nallasopara,93013,
Nallasopara,93015,
Nallasopara,93017,
Nallasopara,93019,
Nallasopara,93021,
Nallasopara,93023,
Nallasopara,93025,
Nallasopara,93027,
Nallasopara,93029,
Nallasopara,93031,
Nallasopara,93033,
Nallasopara,93035,19:01
Nallasopara,93037,
Nallasopara,93039,
Nallasopara,93041,
VIRAR,93001,04:50
VIRAR,93003,05:35
VIRAR,93005,06:15
VIRAR,93007,07:04
VIRAR,93009,08:29
VIRAR,93011,09:01
VIRAR,93013,09:30
VIRAR,93015,10:07
VIRAR,93017,11:05
VIRAR,93019,11:25
VIRAR,93021,12:00
VIRAR,93023,12:20
VIRAR,93025,13:20
VIRAR,93027,15:05
VIRAR,93029,15:45
VIRAR,93031,16:29
VIRAR,93033,18:18
VIRAR,93035,19:07
VIRAR,93037,20:30
VIRAR,93039,21:20
VIRAR,93041,21:41
Vaitarna,93001,05:01
Vaitarna,93003,05:46
Vaitarna,93005,06:25
Vaitarna,93007,07:14
Vaitarna,93009,08:41
Vaitarna,93011,09:10
Vaitarna,93013,09:41
Vaitarna,93015,10:16
Vaitarna,93017,11:15
Vaitarna,93019,11:36
Vaitarna,93021,12:11
Vaitarna,93023,12:30
Vaitarna,93025,13:31
Vaitarna,93027,15:16
Vaitarna,93029,15:57
Vaitarna,93031,16:39
Vaitarna,93033,18:28
Vaitarna,93035,19:17
Vaitarna,93037,20:41
Vaitarna,93039,21:30
Vaitarna,93041,21:51
Saphale,93001,05:09
Saphale,93003,05:54
Saphale,93005,06:33
Saphale,93007,07:22
Saphale,93009,08:49
Saphale,93011,09:18
Saphale,93013,09:49
Saphale,93015,10:24
Saphale,93017,11:23
Saphale,93019,11:44
Saphale,93021,12:19
Saphale,93023,12:38
Saphale,93025,13:38
Saphale,93027,15:24
Saphale,93029,16:05
Saphale,93031,16:47
Saphale,93033,18:35
Saphale,93035,19:25
Saphale,93037,20:49
Saphale,93039,21:38
Saphale,93041,21:59
Kelve Road,93001,05:16
Kelve Road,93003,06:00
Kelve Road,93005,06:40
Kelve Road,93007,07:29
Kelve Road,93009,08:55
Kelve Road,93011,09:24
Kelve Road,93013,09:56
Kelve Road,93015,10:31
Kelve Road,93017,11:29
Kelve Road,93019,11:51
Kelve Road,93021,12:25
Kelve Road,93023,12:44
Kelve Road,93025,13:44
Kelve Road,93027,15:30
Kelve Road,93029,16:11
Kelve Road,93031,16:55
Kelve Road,93033,18:41
Kelve Road,93035,19:31
Kelve Road,93037,20:55
Kelve Road,93039,21:45
Kelve Road,93041,22:06
PALGHAR,93001,05:32
PALGHAR,93003,06:08
PALGHAR,93005,06:56
PALGHAR,93007,07:44
PALGHAR,93009,09:03
PALGHAR,93011,09:32
PALGHAR,93013,10:12
PALGHAR,93015,10:40
PALGHAR,93017,11:37
PALGHAR,93019,11:59
PALGHAR,93021,12:33
PALGHAR,93023,13:05
PALGHAR,93025,13:52
PALGHAR,93027,15:38
PALGHAR,93029,16:19
PALGHAR,93031,17:19
PALGHAR,93033,18:55
PALGHAR,93035,19:39
PALGHAR,93037,21:18
PALGHAR,93039,22:01
PALGHAR,93041,22:20
Umroli,93001,05:38
Umroli,93003,06:15
Umroli,93005,07:02
Umroli,93007,07:50
Umroli,93009,09:10
Umroli,93011,09:38
Umroli,93013,10:18
Umroli,93015,10:46
Umroli,93017,11:43
Umroli,93019,12:05
Umroli,93021,12:38
Umroli,93023,13:10
Umroli,93025,13:57
Umroli,93027,15:43
Umroli,93029,16:25
Umroli,93031,17:25
Umroli,93033,19:01
Umroli,93035,19:45
Umroli,93037,21:24
Umroli,93039,22:07
Umroli,93041,22:26
Boisar,93001,05:44
Boisar,93003,06:21
Boisar,93005,07:08
Boisar,93007,07:56
Boisar,93009,09:16
Boisar,93011,09:44
Boisar,93013,10:24
Boisar,93015,10:52
Boisar,93017,11:51
Boisar,93019,12:11
Boisar,93021,12:44
Boisar,93023,13:16
Boisar,93025,14:03
Boisar,93027,15:49
Boisar,93029,16:32
Boisar,93031,17:31
Boisar,93033,19:07
Boisar,93035,19:51
Boisar,93037,21:30
Boisar,93039,22:12
Boisar,93041,22:33
Vangaon,93001,05:52
Vangaon,93003,06:28
Vangaon,93005,07:17
Vangaon,93007,08:04
Vangaon,93009,09:24
Vangaon,93011,09:52
Vangaon,93013,10:32
Vangaon,93015,11:00
Vangaon,93017,12:00
Vangaon,93019,12:19
Vangaon,93021,12:52
Vangaon,93023,13:32
Vangaon,93025,14:11
Vangaon,93027,16:04
Vangaon,93029,16:52
Vangaon,93031,17:39
Vangaon,93033,19:15
Vangaon,93035,20:00
Vangaon,93037,21:38
Vangaon,93039,22:20
Vangaon,93041,22:48
DAHANU ROAD,93001,06:15
DAHANU ROAD,93003,06:50
DAHANU ROAD,93005,07:38
DAHANU ROAD,93007,08:25
DAHANU ROAD,93009,09:50
DAHANU ROAD,93011,10:15
DAHANU ROAD,93013,10:50
DAHANU ROAD,93015,11:25
DAHANU ROAD,93017,12:20
DAHANU ROAD,93019,12:40
DAHANU ROAD,93021,13:08
DAHANU ROAD,93023,13:50
DAHANU ROAD,93025,14:26
DAHANU ROAD,93027,16:30
DAHANU ROAD,93029,17:08
DAHANU ROAD,93031,18:00
DAHANU ROAD,93033,19:30
DAHANU ROAD,93035,20:20
DAHANU ROAD,93037,21:55
DAHANU ROAD,93039,22:35
DAHANU ROAD,93041,23:05
